mass,thrust,fuel_time,drag_coefficient,max_height,campaign
1.0145183442659735,14.262980218730464,4.826373093269422,0.02622321650415394,43.05599833172585,Correlated Monte Carlo
1.1069809706304146,15.362708754939918,4.963788619880905,0.023734218831569176,45.77367696501941,Correlated Monte Carlo
1.000553770968036,15.671036975041455,5.320348692813255,0.01799583442250233,71.55286259584183,Correlated Monte Carlo
0.8573538749655345,14.757830349591451,4.218303318521594,0.017284538749612822,61.4062269077951,Correlated Monte Carlo
0.9964803729203993,16.50015844351788,5.365389207426572,0.014195935682812116,87.87174360209282,Correlated Monte Carlo
0.9302469571076881,12.817141469756333,4.561116074530845,0.01410394459475622,43.12320247157036,Correlated Monte Carlo
0.9560344966900914,15.810977596418791,5.175856103099948,0.021141929124214937,71.43773904065684,Correlated Monte Carlo
0.9880730704902397,15.919128508999094,5.035100121802971,0.027282848900652586,60.39232458453377,Correlated Monte Carlo
1.0390745357244742,15.083882249182668,4.599283361276922,0.0155963711244194,50.635015961417636,Correlated Monte Carlo
0.8831169858220846,14.80963037871943,4.207738712057573,0.020467169683148774,55.67358351119402,Correlated Monte Carlo
0.9589897853886739,13.882889109966824,4.887601841022985,0.018593279978580346,51.41817453319826,Correlated Monte Carlo
1.034339934343067,17.26093091030552,5.083389018459552,0.024400621429971327,69.19563880688438,Correlated Monte Carlo
0.9820087733824904,14.592842045072889,4.246293298976935,0.018741727253475594,45.09025319199823,Correlated Monte Carlo
1.1046327878009448,15.975220446722489,5.393185085413707,0.02415756272600302,56.5823194335632,Correlated Monte Carlo
1.057654617955931,16.276225969207427,5.0837664309358175,0.02420710335610792,59.60943570857709,Correlated Monte Carlo
0.9520702390620014,15.731403901887834,5.047302747094176,0.014934695745905132,77.51723607191634,Correlated Monte Carlo
0.9725323574878294,13.698987531282995,5.320112654172046,0.02363703532727959,50.51386709700229,Correlated Monte Carlo
0.9970491376729481,14.497057995454897,4.6668612139819174,0.026260400449500433,44.73276395823525,Correlated Monte Carlo
0.8574499426939772,14.961859239407573,5.609384111956633,0.022072168835638097,81.7289210957161,Correlated Monte Carlo
0.9978918974839237,14.887767009156128,4.865158477444706,0.012154849694356965,63.245195246440964,Correlated Monte Carlo
1.1072029775728027,15.304828923134224,5.185297542519851,0.01851013229159941,51.23510797334906,Correlated Monte Carlo
1.090252969703722,16.241046020764202,5.001844645176443,0.021879228381994447,57.03307717740519,Correlated Monte Carlo
1.0380421044142267,15.762260915835709,5.322459676941308,0.023928717927845775,61.51132339553113,Correlated Monte Carlo
1.0057151565924713,16.072985861501536,5.045362520727267,0.014208827763039455,74.77726393540624,Correlated Monte Carlo
0.9891147415739806,14.540137529962651,5.027930832646696,0.018979900176290615,55.971385900259044,Correlated Monte Carlo
1.0423188321456018,17.147696589831355,5.181655172535887,0.017006928545936183,78.81168934032146,Correlated Monte Carlo
1.1303799572528213,15.213761016333013,5.1881584600047965,0.021404458505145656,45.65235807620902,Correlated Monte Carlo
0.8669257501716692,14.62175666074485,4.914039399686288,0.019112552834810975,69.67464260234387,Correlated Monte Carlo
1.0151173820744113,14.758634861561616,5.922357259564036,0.020812954883379458,66.69377825434422,Correlated Monte Carlo
1.0586750769900015,15.121967304335916,4.561483676430938,0.023578773074923075,43.56698193874244,Correlated Monte Carlo
1.0379625429510841,13.868023526309464,4.4606394360409105,0.01492552294299691,37.868518334902305,Correlated Monte Carlo
0.9364407637473051,13.987450103265232,5.693663761766919,0.0169855932176734,69.87808947851927,Correlated Monte Carlo
