variable,low_output,high_output,swing
drag_coefficient,67.33826612890259,51.92166747270995,15.41659865619264
fuel_time,47.13567378906631,69.09352327215791,21.9578494830916
mass,69.71321954537419,46.04327294665463,23.669946598719555
thrust,38.29046393927425,75.1312811124523,36.84081717317805
